"","year","month","day","avg.precip"
"1",1979,1,1,0.00302842604917484
"2",1979,1,2,0.00419132834498262
"3",1979,1,3,0.00405591145949268
"4",1979,1,4,0.00218492799844497
"5",1979,1,5,0.00228538690851285
"6",1979,1,6,0.00200334305673728
"7",1979,1,7,0.00296227354761008
"8",1979,1,8,0.00390543751282133
"9",1979,1,9,0.00291215231157703
"10",1979,1,10,0.0025828643650799
"11",1979,1,11,0.00334943795487994
"12",1979,1,12,0.00319721535284877
"13",1979,1,13,0.00344793736088625
"14",1979,1,14,0.00494640688701864
"15",1979,1,15,0.00348807844323116
"16",1979,1,16,0.00186670064489483
"17",1979,1,17,0.00271055690207324
"18",1979,1,18,0.00270464251520651
"19",1979,1,19,0.00392068821541119
"20",1979,1,20,0.00442406150884244
"21",1979,1,21,0.00488432390212794
"22",1979,1,22,0.00468134644403781
"23",1979,1,23,0.00327882120733733
"24",1979,1,24,0.00494806368054051
"25",1979,1,25,0.00589191192153828
"26",1979,1,26,0.00349623395246027
"27",1979,1,27,0.00285852969020278
"28",1979,1,28,0.00236771188048653
"29",1979,1,29,0.00311500944279052
"30",1979,1,30,0.00214399998605033
"31",1979,1,31,0.00231194235793837
"32",1979,2,1,0.00250864659364407
"33",1979,2,2,0.00198338057422813
"34",1979,2,3,0.00174787096379004
"35",1979,2,4,0.00186856963531875
"36",1979,2,5,0.00266252494120336
"37",1979,2,6,0.00311308648341741
"38",1979,2,7,0.0041883953052126
"39",1979,2,8,0.00301358894114093
"40",1979,2,9,0.00206114221296031
"41",1979,2,10,0.00238687608377401
"42",1979,2,11,0.00182559405054365
"43",1979,2,12,0.00286044518262039
"44",1979,2,13,0.00497489172023731
"45",1979,2,14,0.00397869274702483
"46",1979,2,15,0.00239562099124049
"47",1979,2,16,0.00181045229290868
"48",1979,2,17,0.0019192174240783
"49",1979,2,18,0.00292425951459906
"50",1979,2,19,0.00278674905416948
"51",1979,2,20,0.00291750407726555
"52",1979,2,21,0.00271674504046475
"53",1979,2,22,0.00254247927622044
"54",1979,2,23,0.00301102915635476
"55",1979,2,24,0.00376990463707473
"56",1979,2,25,0.00507447046701943
"57",1979,2,26,0.00408614290393752
"58",1979,2,27,0.00391035185710633
"59",1979,2,28,0.00271060375885649
"60",1979,3,1,0.00193069352880939
"61",1979,3,2,0.00182228357200221
"62",1979,3,3,0.00381248089665677
"63",1979,3,4,0.00487628427398947
"64",1979,3,5,0.00382465523132038
"65",1979,3,6,0.00316572066246372
"66",1979,3,7,0.00281183187723596
"67",1979,3,8,0.00236252440692304
"68",1979,3,9,0.00188146740088969
"69",1979,3,10,0.00104106524652177
"70",1979,3,11,0.00196005230694463
"71",1979,3,12,0.00288987808720969
"72",1979,3,13,0.00137872947550519
"73",1979,3,14,0.00210290944729096
"74",1979,3,15,0.00387467464138737
"75",1979,3,16,0.0027053210092879
"76",1979,3,17,0.00158787240639274
"77",1979,3,18,0.00212846738405717
"78",1979,3,19,0.00274846731470181
"79",1979,3,20,0.00254191214921492
"80",1979,3,21,0.0019689960930592
"81",1979,3,22,0.00217552541212721
"82",1979,3,23,0.00281158107650149
"83",1979,3,24,0.00315043722917309
"84",1979,3,25,0.00363154234739887
"85",1979,3,26,0.00465986632192746
"86",1979,3,27,0.00388584125227544
"87",1979,3,28,0.00252336590608834
"88",1979,3,29,0.00234697139907233
"89",1979,3,30,0.00241839587415531
"90",1979,3,31,0.00246783508049263
"91",1979,4,1,0.00186998628816762
"92",1979,4,2,0.00216438219005808
"93",1979,4,3,0.00283493241056418
"94",1979,4,4,0.00275137556559874
"95",1979,4,5,0.00250447509817151
"96",1979,4,6,0.00254168804502968
"97",1979,4,7,0.00170144475587122
"98",1979,4,8,0.00194830842889272
"99",1979,4,9,0.00253033058328943
"100",1979,4,10,0.00382067409408835
"101",1979,4,11,0.00373446018649982
"102",1979,4,12,0.00427610594983939
"103",1979,4,13,0.0031321396621374
"104",1979,4,14,0.0027254034775299
"105",1979,4,15,0.00203007079742767
"106",1979,4,16,0.00204991479933044
"107",1979,4,17,0.0018464255682278
"108",1979,4,18,0.00216735970406305
"109",1979,4,19,0.00185168706453764
"110",1979,4,20,0.00215593178248231
"111",1979,4,21,0.00231482020609981
"112",1979,4,22,0.00265480670600365
"113",1979,4,23,0.00298112754747544
"114",1979,4,24,0.00322349009960344
"115",1979,4,25,0.00442480586551048
"116",1979,4,26,0.00482431066396472
"117",1979,4,27,0.00426935930446391
"118",1979,4,28,0.00298012766318443
"119",1979,4,29,0.00271907337692194
"120",1979,4,30,0.00250187511027078
"121",1979,5,1,0.00243786512140608
"122",1979,5,2,0.0035200768187915
"123",1979,5,3,0.00394819496206312
"124",1979,5,4,0.0047881095236911
"125",1979,5,5,0.00403287722541517
"126",1979,5,6,0.00344694079387756
"127",1979,5,7,0.00299971349837579
"128",1979,5,8,0.00299953116929575
"129",1979,5,9,0.00305620191461874
"130",1979,5,10,0.00349803521901697
