"","year","month","day","avg.min.temp"
"1",1979,1,1,274.856099798741
"2",1979,1,2,274.234427721072
"3",1979,1,3,273.656406858116
"4",1979,1,4,273.285192996853
"5",1979,1,5,273.777165725205
"6",1979,1,6,274.876703624236
"7",1979,1,7,275.141671934582
"8",1979,1,8,274.773208319137
"9",1979,1,9,274.049879514254
"10",1979,1,10,273.816117196555
"11",1979,1,11,273.681437635596
"12",1979,1,12,274.127010633308
"13",1979,1,13,274.019151135679
"14",1979,1,14,273.318892194587
"15",1979,1,15,272.472707151755
"16",1979,1,16,273.277927258949
"17",1979,1,17,274.897281244299
"18",1979,1,18,275.525321820717
"19",1979,1,19,275.906855827024
"20",1979,1,20,276.850648973626
"21",1979,1,21,277.23404210688
"22",1979,1,22,276.537575064299
"23",1979,1,23,275.703154567397
"24",1979,1,24,275.723688831259
"25",1979,1,25,276.420921898587
"26",1979,1,26,277.092164896871
"27",1979,1,27,277.139199032626
"28",1979,1,28,276.567276993077
"29",1979,1,29,275.704314014589
"30",1979,1,30,275.28645560855
"31",1979,1,31,274.47956161499
"32",1979,2,1,273.677824292864
"33",1979,2,2,273.695509226593
"34",1979,2,3,274.198275094504
"35",1979,2,4,274.539010533483
"36",1979,2,5,274.381101145762
"37",1979,2,6,274.229518390138
"38",1979,2,7,274.092345741468
"39",1979,2,8,273.428701701182
"40",1979,2,9,272.908599490211
"41",1979,2,10,272.650481154892
"42",1979,2,11,273.060894442827
"43",1979,2,12,273.754126323099
"44",1979,2,13,273.787910318899
"45",1979,2,14,273.999686258616
"46",1979,2,15,273.477178370996
"47",1979,2,16,272.762539194966
"48",1979,2,17,272.396707740197
"49",1979,2,18,273.318352148035
"50",1979,2,19,274.944408025497
"51",1979,2,20,276.430051075583
"52",1979,2,21,277.450867858998
"53",1979,2,22,277.963462916224
"54",1979,2,23,277.449968168936
"55",1979,2,24,276.387801545531
"56",1979,2,25,276.278556130657
"57",1979,2,26,276.716734051268
"58",1979,2,27,277.450171323224
"59",1979,2,28,276.997128295898
"60",1979,3,1,276.657928620503
"61",1979,3,2,277.692061293605
"62",1979,3,3,278.849376756717
"63",1979,3,4,279.36325781686
"64",1979,3,5,280.044641188737
"65",1979,3,6,280.585496565711
"66",1979,3,7,279.818770537883
"67",1979,3,8,278.751771142981
"68",1979,3,9,278.20472311502
"69",1979,3,10,278.18332129957
"70",1979,3,11,278.655198518522
"71",1979,3,12,277.749757287441
"72",1979,3,13,277.725052368947
"73",1979,3,14,278.267475661952
"74",1979,3,15,277.903314756736
"75",1979,3,16,277.934419015738
"76",1979,3,17,278.898774900891
"77",1979,3,18,279.947809128534
"78",1979,3,19,280.512153988793
"79",1979,3,20,280.69082039075
"80",1979,3,21,280.989335023091
"81",1979,3,22,281.377090828585
"82",1979,3,23,281.165349005954
"83",1979,3,24,280.411692298638
"84",1979,3,25,279.399900521638
"85",1979,3,26,278.827972669217
"86",1979,3,27,278.716569253551
"87",1979,3,28,279.585941071563
"88",1979,3,29,280.858695399805
"89",1979,3,30,281.388041069394
