"","Year","Month","ONI","quadrant","avePropRainDays","DevFromAve","devFromAveOMI"
"1",1979,"01",0,"NE",0.673118279569892,-0.00202646815550045,-0.0435897435897436
"2",1979,"01",0,"NW",0.666666666666667,-0.00847808105872627,-0.0435897435897436
"3",1979,"01",0,"SE",0.673118279569892,-0.00202646815550045,-0.0435897435897436
"4",1979,"01",0,"SW",0.589247311827957,-0.0858974358974359,-0.0435897435897436
"5",1979,"02",0.1,"NE",0.942857142857143,0.244026567302429,0.0384615384615385
"6",1979,"02",0.1,"NW",0.926190476190476,0.227359900635763,0.0384615384615385
"7",1979,"02",0.1,"SE",0.880952380952381,0.182121805397667,0.0384615384615385
"8",1979,"02",0.1,"SW",0.921428571428571,0.222597995873858,0.0384615384615385
"9",1979,"03",0.2,"NE",0.664516129032258,-0.0753791011855528,0.133333333333333
"10",1979,"03",0.2,"NW",0.705376344086021,-0.0345188861317894,0.133333333333333
"11",1979,"03",0.2,"SE",0.737634408602151,-0.00226082161566032,0.133333333333333
"12",1979,"03",0.2,"SW",0.735483870967742,-0.00441135925006897,0.133333333333333
"13",1979,"04",0.3,"NE",0.922222222222222,0.207507122507123,0.223076923076923
"14",1979,"04",0.3,"NW",0.902222222222222,0.187507122507123,0.223076923076923
"15",1979,"04",0.3,"SE",0.808888888888889,0.0941737891737892,0.223076923076923
"16",1979,"04",0.3,"SW",0.815555555555556,0.100840455840456,0.223076923076923
"17",1979,"05",0.3,"NE",0.513978494623656,-0.0876206231044941,0.212820512820513
"18",1979,"05",0.3,"NW",0.593548387096774,-0.00805073063137585,0.212820512820513
"19",1979,"05",0.3,"SE",0.359139784946237,-0.242459332781913,0.212820512820513
"20",1979,"05",0.3,"SW",0.348387096774194,-0.253212020953956,0.212820512820513
"21",1979,"06",0.1,"NE",0.237777777777778,-0.235940170940171,0.0307692307692308
"22",1979,"06",0.1,"NW",0.38,-0.0937179487179487,0.0307692307692308
