"","avePropRainDays","Year","Month","OMI"
"1",0.791397849462366,2000,"01",-1.6
"2",0.774712643678161,2000,"02",-1.4
"3",0.696774193548387,2000,"03",-1.1
"4",0.551111111111111,2000,"04",-0.9
"5",0.417204301075269,2000,"05",-0.7
"6",0.16,2000,"06",-0.7
"7",0.2,2000,"07",-0.6
"8",0.137634408602151,2000,"08",-0.5
"9",0.277777777777778,2000,"09",-0.6
"10",0.41505376344086,2000,"10",-0.7
"11",0.537777777777778,2000,"11",-0.8
"12",0.380645161290323,2000,"12",-0.8
"13",0.56989247311828,2001,"01",-0.7
"14",0.621428571428571,2001,"02",-0.5
"15",0.748387096774194,2001,"03",-0.4
"16",0.717777777777778,2001,"04",-0.3
"17",0.262365591397849,2001,"05",-0.2
"18",0.24,2001,"06",-0.1
"19",0.417204301075269,2001,"07",-0.1
"20",0.141935483870968,2001,"08",-0.1
"21",0.331111111111111,2001,"09",-0.2
"22",0.316129032258065,2001,"10",-0.3
"23",0.562222222222222,2001,"11",-0.4
"24",0.836559139784946,2001,"12",-0.3
"25",0.709677419354839,2002,"01",-0.2
"26",0.430952380952381,2002,"02",0
"27",0.574193548387097,2002,"03",0.1
"28",0.635555555555556,2002,"04",0.2
"29",0.432258064516129,2002,"05",0.4
"30",0.335555555555556,2002,"06",0.6
"31",0.23010752688172,2002,"07",0.8
"32",0.191397849462366,2002,"08",0.8
"33",0.184444444444444,2002,"09",0.9
"34",0.389247311827957,2002,"10",1.1
"35",0.377777777777778,2002,"11",1.2
"36",0.724731182795699,2002,"12",1.1
"37",0.649462365591398,2003,"01",0.9
"38",0.666666666666667,2003,"02",0.7
"39",0.709677419354839,2003,"03",0.4
"40",0.851111111111111,2003,"04",0
"41",0.526881720430108,2003,"05",-0.2
"42",0.191111111111111,2003,"06",-0.1
"43",0.172043010752688,2003,"07",0.1
"44",0.249462365591398,2003,"08",0.2
"45",0.188888888888889,2003,"09",0.2
"46",0.219354838709677,2003,"10",0.3
"47",0.751111111111111,2003,"11",0.3
"48",0.817204301075269,2003,"12",0.3
"49",0.694623655913978,2004,"01",0.3
"50",0.767816091954023,2004,"02",0.3
"51",0.406451612903226,2004,"03",0.2
"52",0.537777777777778,2004,"04",0.1
"53",0.595698924731183,2004,"05",0.2
"54",0.357777777777778,2004,"06",0.3
"55",0.348387096774194,2004,"07",0.5
"56",0.455913978494624,2004,"08",0.6
"57",0.264444444444444,2004,"09",0.7
"58",0.552688172043011,2004,"10",0.7
"59",0.566666666666667,2004,"11",0.6
"60",0.462365591397849,2004,"12",0.7
"61",0.539784946236559,2005,"01",0.7
"62",0.438095238095238,2005,"02",0.6
"63",0.58494623655914,2005,"03",0.5
"64",0.811111111111111,2005,"04",0.5
"65",0.759139784946237,2005,"05",0.3
"66",0.664444444444444,2005,"06",0.2
"67",0.163440860215054,2005,"07",0
"68",0.131182795698925,2005,"08",-0.1
"69",0.211111111111111,2005,"09",0
"70",0.451612903225806,2005,"10",-0.2
"71",0.571111111111111,2005,"11",-0.5
"72",0.632258064516129,2005,"12",-0.7
"73",0.782795698924731,2006,"01",-0.7
"74",0.385714285714286,2006,"02",-0.6
"75",0.918279569892473,2006,"03",-0.4
"76",0.713333333333333,2006,"04",-0.2
"77",0.490322580645161,2006,"05",0
"78",0.44,2006,"06",0
"79",0.18494623655914,2006,"07",0.1
"80",0.116129032258065,2006,"08",0.3
"81",0.231111111111111,2006,"09",0.5
"82",0.356989247311828,2006,"10",0.7
"83",0.742222222222222,2006,"11",0.9
"84",0.554838709677419,2006,"12",0.9
"85",0.348387096774194,2007,"01",0.7
"86",0.707142857142857,2007,"02",0.4
"87",0.417204301075269,2007,"03",0.1
"88",0.606666666666667,2007,"04",-0.1
"89",0.348387096774194,2007,"05",-0.2
"90",0.228888888888889,2007,"06",-0.3
"91",0.2,2007,"07",-0.4
"92",0.212903225806452,2007,"08",-0.6
"93",0.302222222222222,2007,"09",-0.9
"94",0.539784946236559,2007,"10",-1.1
"95",0.411111111111111,2007,"11",-1.3
"96",0.836559139784946,2007,"12",-1.3
"97",0.673118279569892,2008,"01",-1.4
"98",0.579310344827586,2008,"02",-1.3
"99",0.67741935483871,2008,"03",-1.1
"100",0.573333333333333,2008,"04",-0.9
"101",0.617204301075269,2008,"05",-0.7
"102",0.317777777777778,2008,"06",-0.5
"103",0.133333333333333,2008,"07",-0.4
"104",0.10752688172043,2008,"08",-0.3
"105",0.126666666666667,2008,"09",-0.3
"106",0.270967741935484,2008,"10",-0.4
"107",0.575555555555555,2008,"11",-0.6
"108",0.787096774193548,2008,"12",-0.7
"109",0.509677419354839,2009,"01",-0.7
"110",0.683333333333333,2009,"02",-0.6
"111",0.666666666666667,2009,"03",-0.4
"112",0.646666666666667,2009,"04",-0.1
"113",0.470967741935484,2009,"05",0.2
"114",0.675555555555555,2009,"06",0.4
"115",0.137634408602151,2009,"07",0.5
"116",0.247311827956989,2009,"08",0.5
"117",0.0844444444444444,2009,"09",0.6
"118",0.587096774193548,2009,"10",0.9
"119",0.477777777777778,2009,"11",1.1
"120",0.589247311827957,2009,"12",1.3
"121",0.774193548387097,2010,"01",1.3
"122",0.842857142857143,2010,"02",1.2
"123",0.636559139784946,2010,"03",0.9
"124",0.76,2010,"04",0.5
"125",0.8,2010,"05",0
"126",0.595555555555556,2010,"06",-0.4
"127",0.118279569892473,2010,"07",-0.9
"128",0.268817204301075,2010,"08",-1.2
"129",0.166666666666667,2010,"09",-1.4
"130",0.488172043010753,2010,"10",-1.5
"131",0.693333333333333,2010,"11",-1.4
"132",0.881720430107527,2010,"12",-1.4
"133",0.481720430107527,2011,"01",-1.3
"134",0.607142857142857,2011,"02",-1
"135",0.909677419354839,2011,"03",-0.7
"136",0.851111111111111,2011,"04",-0.5
"137",0.748387096774194,2011,"05",-0.4
"138",0.506666666666667,2011,"06",-0.3
"139",0.167741935483871,2011,"07",-0.3
"140",0.12258064516129,2011,"08",-0.6
"141",0.151111111111111,2011,"09",-0.8
"142",0.425806451612903,2011,"10",-0.9
"143",0.626666666666667,2011,"11",-1
"144",0.283870967741935,2011,"12",-0.9
"145",0.513978494623656,2012,"01",-0.7
"146",0.64367816091954,2012,"02",-0.5
"147",0.774193548387097,2012,"03",-0.4
"148",0.713333333333333,2012,"04",-0.4
"149",0.374193548387097,2012,"05",-0.3
"150",0.277777777777778,2012,"06",-0.1
"151",0.23010752688172,2012,"07",0.1
"152",0.120430107526882,2012,"08",0.3
"153",0.1,2012,"09",0.3
"154",0.32258064516129,2012,"10",0.3
"155",0.633333333333333,2012,"11",0.1
"156",0.81505376344086,2012,"12",-0.2
"157",0.468817204301075,2013,"01",-0.4
"158",0.611904761904762,2013,"02",-0.4
"159",0.535483870967742,2013,"03",-0.3
"160",0.564444444444444,2013,"04",-0.2
"161",0.604301075268817,2013,"05",-0.2
"162",0.308888888888889,2013,"06",-0.2
"163",0.2,2013,"07",-0.3
"164",0.365591397849462,2013,"08",-0.3
"165",0.524444444444444,2013,"09",-0.2
"166",0.29247311827957,2013,"10",-0.3
"167",0.475555555555556,2013,"11",-0.3
"168",0.432258064516129,2013,"12",-0.3
"169",0.318279569892473,2014,"01",-0.5
"170",0.714285714285714,2014,"02",-0.5
"171",0.690322580645161,2014,"03",-0.4
"172",0.504444444444444,2014,"04",-0.2
"173",0.354838709677419,2014,"05",-0.1
"174",0.26,2014,"06",0
"175",0.247311827956989,2014,"07",-0.1
"176",0.309677419354839,2014,"08",0
"177",0.268888888888889,2014,"09",0.1
"178",0.333333333333333,2014,"10",0.4
"179",0.493333333333333,2014,"11",0.5
"180",0.860215053763441,2014,"12",0.6
"181",0.36989247311828,2015,"01",0.6
"182",0.554761904761905,2015,"02",0.5
"183",0.462365591397849,2015,"03",0.6
"184",0.555555555555556,2015,"04",0.7
"185",0.636559139784946,2015,"05",0.8
"186",0.177777777777778,2015,"06",1
"187",0.354838709677419,2015,"07",1.2
"188",0.124731182795699,2015,"08",1.4
"189",0.235555555555556,2015,"09",1.7
"190",0.378494623655914,2015,"10",2
"191",0.595555555555556,2015,"11",2.2
"192",0.954838709677419,2015,"12",2.3
"193",0.724731182795699,2016,"01",2.2
"194",0.402298850574713,2016,"02",2
"195",0.752688172043011,2016,"03",1.6
"196",0.544444444444444,2016,"04",1.1
"197",0.56989247311828,2016,"05",0.6
"198",0.191111111111111,2016,"06",0.1
"199",0.0838709677419355,2016,"07",-0.3
